,pdb_id,lig_id,rmsd,label
0,1a30,1a30_128,7.02,0
1,1a30,1a30_130,2.09,0
2,1a30,1a30_139,3.03,0
3,1a30,1a30_140,2.7,0
4,1a30,1a30_144,2.91,0
5,1a30,1a30_167,5.28,0
6,1a30,1a30_170,2.97,0
7,1a30,1a30_186,4.12,0
8,1a30,1a30_187,5.14,0
9,1a30,1a30_22,3.87,0
10,1a30,1a30_221,4.59,0
11,1a30,1a30_222,4.47,0
12,1a30,1a30_267,3.76,0
13,1a30,1a30_270,8.26,0
14,1a30,1a30_284,3.7,0
15,1a30,1a30_296,4.51,0
16,1a30,1a30_314,4.03,0
17,1a30,1a30_319,5.03,0
18,1a30,1a30_336,3.0,0
19,1a30,1a30_348,2.09,0
20,1a30,1a30_35,3.57,0
21,1a30,1a30_353,3.15,0
22,1a30,1a30_388,4.55,0
23,1a30,1a30_407,6.42,0
24,1a30,1a30_418,6.02,0
25,1a30,1a30_450,6.07,0
26,1a30,1a30_452,2.74,0
27,1a30,1a30_490,1.79,1
28,1a30,1a30_498,4.52,0
29,1a30,1a30_538,4.19,0
30,1a30,1a30_559,6.23,0
31,1a30,1a30_569,5.07,0
32,1a30,1a30_577,6.78,0
33,1a30,1a30_6,9.65,0
34,1a30,1a30_653,5.8,0
35,1a30,1a30_664,5.14,0
36,1a30,1a30_667,3.51,0
37,1a30,1a30_670,5.53,0
38,1a30,1a30_671,2.01,0
39,1a30,1a30_704,1.9,1
40,1a30,1a30_705,1.79,1
41,1a30,1a30_706,1.81,1
42,1a30,1a30_709,1.91,1
43,1a30,1a30_712,1.93,1
44,1a30,1a30_718,1.95,1
45,1a30,1a30_731,1.84,1
46,1a30,1a30_733,9.15,0
47,1a30,1a30_736,9.0,0
48,1a30,1a30_743,1.88,1
49,1a30,1a30_744,9.05,0
50,1a30,1a30_747,8.77,0
51,1a30,1a30_75,8.07,0
52,1a30,1a30_754,8.76,0
53,1a30,1a30_759,4.15,0
54,1a30,1a30_797,2.82,0
55,1a30,1a30_828,3.53,0
56,1a30,1a30_86,2.29,0
57,1a30,1a30_868,5.56,0
58,1a30,1a30_87,9.32,0
59,1a30,1a30_883,5.48,0
60,1a30,1a30_899,5.38,0
61,1a30,1a30_90,3.87,0
62,1a30,1a30_920,8.58,0
63,1a30,1a30_935,9.2,0
64,1a30,1a30_938,9.21,0
65,1a30,1a30_940,4.12,0
66,1a30,1a30_942,7.33,0
67,1a30,1a30_944,8.69,0
68,1a30,1a30_955,9.33,0
69,1a30,1a30_972,8.83,0
70,1a30,1a30_985,8.63,0
71,1a30,1a30_992,3.16,0
72,1a30,1a30_997,8.43,0
73,1a30,1a30_999,7.88,0
74,1a30,1a30_native,0.0,1
75,1bcu,1bcu_11,1.0,1
76,1bcu,1bcu_220,1.13,1
77,1bcu,1bcu_270,3.32,0
78,1bcu,1bcu_309,0.36,1
79,1bcu,1bcu_33,1.2,1
80,1bcu,1bcu_334,0.63,1
81,1bcu,1bcu_362,0.59,1
82,1bcu,1bcu_397,0.66,1
83,1bcu,1bcu_406,0.87,1
84,1bcu,1bcu_424,1.83,1
85,1bcu,1bcu_442,1.96,1
86,1bcu,1bcu_451,3.56,0
87,1bcu,1bcu_454,4.57,0
88,1bcu,1bcu_462,2.53,0
89,1bcu,1bcu_469,2.57,0
90,1bcu,1bcu_473,2.56,0
91,1bcu,1bcu_479,1.44,1
92,1bcu,1bcu_483,2.15,0
93,1bcu,1bcu_495,1.78,1
94,1bcu,1bcu_564,6.11,0
95,1bcu,1bcu_585,5.89,0
96,1bcu,1bcu_591,4.49,0
97,1bcu,1bcu_595,3.32,0
98,1bcu,1bcu_608,6.86,0
99,1bcu,1bcu_617,2.9,0
100,1bcu,1bcu_634,2.55,0
101,1bcu,1bcu_653,3.25,0
102,1bcu,1bcu_661,2.08,0
103,1bcu,1bcu_684,0.92,1
104,1bcu,1bcu_695,3.45,0
105,1bcu,1bcu_701,1.86,1
106,1bcu,1bcu_703,0.61,1
107,1bcu,1bcu_708,8.32,0
108,1bcu,1bcu_712,8.21,0
109,1bcu,1bcu_715,6.42,0
110,1bcu,1bcu_717,7.05,0
111,1bcu,1bcu_718,9.18,0
112,1bcu,1bcu_720,4.76,0
113,1bcu,1bcu_725,6.31,0
114,1bcu,1bcu_729,5.07,0
115,1bcu,1bcu_738,6.5,0
116,1bcu,1bcu_741,8.39,0
117,1bcu,1bcu_742,7.62,0
118,1bcu,1bcu_745,7.58,0
119,1bcu,1bcu_749,7.82,0
120,1bcu,1bcu_752,6.43,0
121,1bcu,1bcu_753,9.22,0
122,1bcu,1bcu_754,8.1,0
123,1bcu,1bcu_756,6.01,0
124,1bcu,1bcu_758,8.42,0
125,1bcu,1bcu_761,8.5,0
126,1bcu,1bcu_764,8.8,0
127,1bcu,1bcu_765,9.97,0
128,1bcu,1bcu_772,7.13,0
129,1bcu,1bcu_773,9.2,0
130,1bcu,1bcu_777,9.12,0
131,1bcu,1bcu_778,9.89,0
132,1bcu,1bcu_782,9.55,0
133,1bcu,1bcu_788,9.65,0
134,1bcu,1bcu_790,9.39,0
135,1bcu,1bcu_803,2.07,0
136,1bcu,1bcu_806,0.71,1
137,1bcu,1bcu_813,7.67,0
138,1bcu,1bcu_825,1.24,1
139,1bcu,1bcu_828,3.52,0
140,1bcu,1bcu_829,3.82,0
141,1bcu,1bcu_843,6.52,0
142,1bcu,1bcu_850,7.67,0
143,1bcu,1bcu_852,2.22,0
144,1bcu,1bcu_855,6.79,0
145,1bcu,1bcu_862,9.04,0
146,1bcu,1bcu_869,4.13,0
147,1bcu,1bcu_878,5.73,0
148,1bcu,1bcu_881,7.74,0
149,1bcu,1bcu_885,5.1,0
150,1bcu,1bcu_886,5.71,0
151,1bcu,1bcu_887,4.26,0
152,1bcu,1bcu_888,5.26,0
153,1bcu,1bcu_890,4.3,0
154,1bcu,1bcu_893,8.62,0
155,1bcu,1bcu_898,5.45,0
156,1bcu,1bcu_903,1.58,1
157,1bcu,1bcu_915,7.97,0
158,1bcu,1bcu_919,3.86,0
159,1bcu,1bcu_920,3.43,0
160,1bcu,1bcu_923,0.75,1
161,1bcu,1bcu_931,7.49,0
162,1bcu,1bcu_933,5.12,0
163,1bcu,1bcu_939,4.45,0
