,pdb_id,lig_id,rmsd,label
0,1a30,1a30_128,7.64586,0
1,1a30,1a30_130,2.10075,0
2,1a30,1a30_139,3.03049,0
3,1a30,1a30_140,2.90263,0
4,1a30,1a30_144,2.94852,0
5,1a30,1a30_167,8.43983,0
6,1a30,1a30_170,6.29456,0
7,1a30,1a30_186,7.1123,0
8,1a30,1a30_187,8.21757,0
9,1a30,1a30_22,7.00664,0
10,1a30,1a30_221,7.8763,0
11,1a30,1a30_222,7.26371,0
12,1a30,1a30_267,7.08616,0
13,1a30,1a30_270,8.26376,0
14,1a30,1a30_284,5.17153,0
15,1a30,1a30_296,5.59831,0
16,1a30,1a30_314,4.20289,0
17,1a30,1a30_319,8.1936,0
18,1a30,1a30_336,6.22458,0
19,1a30,1a30_348,2.09525,0
20,1a30,1a30_35,7.00961,0
21,1a30,1a30_353,6.41473,0
22,1a30,1a30_388,5.68795,0
23,1a30,1a30_407,7.68024,0
24,1a30,1a30_418,8.84108,0
25,1a30,1a30_450,8.68116,0
26,1a30,1a30_452,2.79112,0
27,1a30,1a30_490,1.78867,1
28,1a30,1a30_498,4.52038,0
29,1a30,1a30_538,7.127,0
30,1a30,1a30_559,6.49003,0
31,1a30,1a30_569,8.07843,0
32,1a30,1a30_577,9.41832,0
33,1a30,1a30_6,10.0791,0
34,1a30,1a30_653,6.3201,0
35,1a30,1a30_664,7.57925,0
36,1a30,1a30_667,5.01765,0
37,1a30,1a30_670,7.8591,0
38,1a30,1a30_671,2.11597,0
39,1a30,1a30_704,1.90491,1
40,1a30,1a30_705,1.79417,1
41,1a30,1a30_706,1.80714,1
42,1a30,1a30_709,1.90737,1
43,1a30,1a30_712,1.92827,1
44,1a30,1a30_718,1.95023,1
45,1a30,1a30_731,1.8442,1
46,1a30,1a30_733,9.18356,0
47,1a30,1a30_736,9.02717,0
48,1a30,1a30_743,1.87846,1
49,1a30,1a30_744,9.07996,0
50,1a30,1a30_747,10.62,0
51,1a30,1a30_75,8.07855,0
52,1a30,1a30_754,8.79876,0
53,1a30,1a30_759,6.31311,0
54,1a30,1a30_797,4.05391,0
55,1a30,1a30_828,3.89225,0
56,1a30,1a30_86,2.30078,0
57,1a30,1a30_868,6.01764,0
58,1a30,1a30_87,9.60655,0
59,1a30,1a30_883,6.62005,0
60,1a30,1a30_899,6.93249,0
61,1a30,1a30_90,5.80875,0
62,1a30,1a30_920,9.26114,0
63,1a30,1a30_935,9.85646,0
64,1a30,1a30_938,9.77805,0
65,1a30,1a30_940,6.21047,0
66,1a30,1a30_942,7.33951,0
67,1a30,1a30_944,9.32748,0
68,1a30,1a30_955,9.96363,0
69,1a30,1a30_972,9.57296,0
70,1a30,1a30_985,9.23629,0
71,1a30,1a30_992,5.44133,0
72,1a30,1a30_997,8.86097,0
73,1a30,1a30_999,8.44076,0
74,1a30,1a30_native,0.0,1
75,1bcu,1bcu_11,0.997869,1
76,1bcu,1bcu_220,1.12967,1
77,1bcu,1bcu_270,3.77101,0
78,1bcu,1bcu_309,0.357269,1
79,1bcu,1bcu_33,1.20156,1
80,1bcu,1bcu_334,0.629331,1
81,1bcu,1bcu_362,0.594971,1
82,1bcu,1bcu_397,0.657694,1
83,1bcu,1bcu_406,0.868046,1
84,1bcu,1bcu_424,1.82661,1
85,1bcu,1bcu_442,1.95899,1
86,1bcu,1bcu_451,3.97366,0
87,1bcu,1bcu_454,4.96357,0
88,1bcu,1bcu_462,3.12235,0
89,1bcu,1bcu_469,2.96208,0
90,1bcu,1bcu_473,2.55819,0
91,1bcu,1bcu_479,1.44231,1
92,1bcu,1bcu_483,2.15232,0
93,1bcu,1bcu_495,1.77649,1
94,1bcu,1bcu_564,6.10789,0
95,1bcu,1bcu_585,5.88501,0
96,1bcu,1bcu_591,5.02959,0
97,1bcu,1bcu_595,3.92522,0
98,1bcu,1bcu_608,7.0783,0
99,1bcu,1bcu_617,3.35655,0
100,1bcu,1bcu_634,3.0789,0
101,1bcu,1bcu_653,3.52021,0
102,1bcu,1bcu_661,2.09729,0
103,1bcu,1bcu_684,0.915892,1
104,1bcu,1bcu_695,3.65708,0
105,1bcu,1bcu_701,2.56975,0
106,1bcu,1bcu_703,0.606196,1
107,1bcu,1bcu_708,8.31902,0
108,1bcu,1bcu_712,8.48084,0
109,1bcu,1bcu_715,6.61211,0
110,1bcu,1bcu_717,7.3461,0
111,1bcu,1bcu_718,9.33171,0
112,1bcu,1bcu_720,4.92091,0
113,1bcu,1bcu_725,6.41061,0
114,1bcu,1bcu_729,5.27547,0
115,1bcu,1bcu_738,6.50128,0
116,1bcu,1bcu_741,8.66459,0
117,1bcu,1bcu_742,7.91684,0
118,1bcu,1bcu_745,7.73038,0
119,1bcu,1bcu_749,8.02816,0
120,1bcu,1bcu_752,6.6605,0
121,1bcu,1bcu_753,9.22398,0
122,1bcu,1bcu_754,8.32132,0
123,1bcu,1bcu_756,6.10433,0
124,1bcu,1bcu_758,8.66026,0
125,1bcu,1bcu_761,8.74949,0
126,1bcu,1bcu_764,8.97059,0
127,1bcu,1bcu_765,10.0489,0
128,1bcu,1bcu_772,7.21362,0
129,1bcu,1bcu_773,9.43401,0
130,1bcu,1bcu_777,9.24553,0
131,1bcu,1bcu_778,10.0658,0
132,1bcu,1bcu_782,9.65847,0
133,1bcu,1bcu_788,9.72919,0
134,1bcu,1bcu_790,9.58588,0
135,1bcu,1bcu_803,2.70663,0
136,1bcu,1bcu_806,0.713022,1
137,1bcu,1bcu_813,7.67483,0
138,1bcu,1bcu_825,1.23747,1
139,1bcu,1bcu_828,3.70513,0
140,1bcu,1bcu_829,3.97086,0
141,1bcu,1bcu_843,6.75702,0
142,1bcu,1bcu_850,7.93752,0
143,1bcu,1bcu_852,2.25717,0
144,1bcu,1bcu_855,7.0037,0
145,1bcu,1bcu_862,9.1082,0
146,1bcu,1bcu_869,4.14506,0
147,1bcu,1bcu_878,5.75238,0
148,1bcu,1bcu_881,8.00262,0
149,1bcu,1bcu_885,5.21441,0
150,1bcu,1bcu_886,6.02411,0
151,1bcu,1bcu_887,4.66048,0
152,1bcu,1bcu_888,5.53929,0
153,1bcu,1bcu_890,4.48153,0
154,1bcu,1bcu_893,8.631,0
155,1bcu,1bcu_898,5.75424,0
156,1bcu,1bcu_903,1.57715,1
157,1bcu,1bcu_915,7.97337,0
158,1bcu,1bcu_919,3.88274,0
159,1bcu,1bcu_920,3.5215,0
160,1bcu,1bcu_923,0.753189,1
161,1bcu,1bcu_931,7.66148,0
162,1bcu,1bcu_933,5.38039,0
163,1bcu,1bcu_939,4.83024,0
164,1bcu,1bcu_949,3.25034,0
165,1bcu,1bcu_967,5.32328,0
166,1bcu,1bcu_971,8.27323,0
167,1bcu,1bcu_977,4.78793,0
168,1bcu,1bcu_980,5.87481,0
169,1bcu,1bcu_981,2.97587,0
170,1bcu,1bcu_983,5.06083,0
171,1bcu,1bcu_984,8.61835,0
172,1bcu,1bcu_989,6.10555,0
173,1bcu,1bcu_991,7.05645,0
174,1bcu,1bcu_996,1.92426,1
175,1bcu,1bcu_native,0.0,1
176,1bzc,1bzc_101,5.46537,0
177,1bzc,1bzc_111,5.20621,0
178,1bzc,1bzc_142,1.30183,1
179,1bzc,1bzc_190,0.682954,1
180,1bzc,1bzc_217,0.754627,1
181,1bzc,1bzc_223,0.773859,1
182,1bzc,1bzc_225,1.01766,1
183,1bzc,1bzc_260,2.0254,0
184,1bzc,1bzc_265,0.69958,1
185,1bzc,1bzc_300,0.758283,1
186,1bzc,1bzc_323,0.736839,1
187,1bzc,1bzc_375,0.691448,1
188,1bzc,1bzc_409,10.4982,0
189,1bzc,1bzc_412,5.84538,0
190,1bzc,1bzc_414,10.2796,0
191,1bzc,1bzc_427,5.43059,0
192,1bzc,1bzc_43,0.843852,1
193,1bzc,1bzc_439,5.8705,0
194,1bzc,1bzc_440,5.0412,0
195,1bzc,1bzc_443,10.0849,0
196,1bzc,1bzc_449,9.93085,0
197,1bzc,1bzc_461,3.39836,0
198,1bzc,1bzc_463,9.77775,0
199,1bzc,1bzc_464,5.52061,0
200,1bzc,1bzc_466,1.99114,1
201,1bzc,1bzc_469,3.50428,0
202,1bzc,1bzc_473,5.38566,0
203,1bzc,1bzc_481,3.65904,0
204,1bzc,1bzc_487,4.80147,0
205,1bzc,1bzc_502,1.74933,1
206,1bzc,1bzc_504,1.40556,1
207,1bzc,1bzc_522,3.25505,0
208,1bzc,1bzc_524,2.57106,0
209,1bzc,1bzc_526,1.76269,1
210,1bzc,1bzc_527,0.962566,1
