,pdb_id,lig_id,Total_Score,Crash,Polar
0,10_3p5o_3p5o,1_0000,7.0566,-0.8156,2.1863
1,10_3p5o_3p5o,1_0001,6.7768,-0.7163,2.1891
2,10_3p5o_3p5o,1_0002,6.505,-1.788,0.0349
3,10_3p5o_3p5o,1_0003,6.095,-0.9674,1.1255
4,10_3p5o_3p5o,1_0004,5.9742,-1.6541,0.8825
5,10_3p5o_3p5o,1_0005,5.5375,-0.8766,1.0861
6,10_3p5o_3p5o,1_0006,5.517,-0.957,2.1691
7,10_3p5o_3p5o,1_0007,5.3978,-0.9832,0.9484
8,10_3p5o_3p5o,1_0008,5.3176,-0.8485,0.8797
9,10_3p5o_3p5o,1_0009,5.284,-0.7473,1.9846
10,10_3p5o_3p5o,1_0010,5.2025,-2.1982,0.1198
11,10_3p5o_3p5o,1_0011,5.2016,-2.0174,0.7059
12,10_3p5o_3p5o,1_0012,5.1531,-1.1505,0.0
13,10_3p5o_3p5o,1_0013,5.0555,-0.7135,2.1447
14,10_3p5o_3p5o,1_0014,4.6849,-0.5154,1.0163
15,10_3p5o_3p5o,1_0015,4.6689,-0.552,1.0996
16,10_3p5o_3p5o,1_0016,4.6362,-1.5519,1.0133
17,10_3p5o_3p5o,1_0017,4.602,-0.6686,0.9566
18,10_3p5o_3p5o,1_0018,4.5609,-0.8927,0.0
19,10_3p5o_3p5o,1_0019,4.5362,-0.9803,1.0122
20,10_3p5o_3u5j,1_0000,4.1988,-0.8058,0.0234
21,10_3p5o_3u5j,1_0001,4.1196,-0.6682,0.0323
22,10_3p5o_3u5j,1_0002,3.9881,-0.8149,0.7494
23,10_3p5o_3u5j,1_0003,3.9821,-0.8485,0.3788
24,10_3p5o_3u5j,1_0004,3.9561,-0.7397,0.7799
25,10_3p5o_3u5j,1_0005,3.8448,-0.6262,1.1691
26,10_3p5o_3u5j,1_0006,3.2427,-0.6002,0.0003
27,10_3p5o_3u5j,1_0007,3.2332,-1.0581,0.0065
28,10_3p5o_3u5j,1_0008,3.0296,-1.3875,0.0043
29,10_3p5o_3u5j,1_0009,3.0026,-1.0094,0.0009
30,10_3p5o_3u5j,1_0010,2.9113,-0.758,0.0
31,10_3p5o_3u5j,1_0011,2.9056,-0.4206,0.0004
32,10_3p5o_3u5j,1_0012,2.8773,-0.9078,0.0016
33,10_3p5o_3u5j,1_0013,2.8593,-0.7329,0.0012
34,10_3p5o_3u5j,1_0014,2.8374,-0.7386,0.0013
35,10_3p5o_3u5j,1_0015,2.4638,-1.2588,0.0047
36,10_3p5o_3u5j,1_0016,2.3,-2.8001,0.0204
37,10_3p5o_3u5j,1_0017,2.1464,-3.4768,0.1029
38,10_3p5o_3u5j,1_0018,2.1048,-1.322,0.189
39,10_3p5o_3u5j,1_0019,2.0154,-1.0696,0.0
40,10_3p5o_4lzs,1_0000,4.9928,-0.9718,2.2837
41,10_3p5o_4lzs,1_0001,4.7778,-1.1858,1.0648
42,10_3p5o_4lzs,1_0002,4.6446,-0.7128,2.4369
43,10_3p5o_4lzs,1_0003,4.6111,-0.4286,2.2835
44,10_3p5o_4lzs,1_0004,4.5394,-0.6244,2.1428
