,pdb_id,lig_id,average_score,HPSCORE,HMSCORE,HSSCORE,VDW,HB,HP,HM,HS,RT
0,10_3p5o_3p5o,1_0000,6.76,6.59,7.35,6.34,570.7,1.8,112.4,4.41,239.3,4.0
1,10_3p5o_3p5o,1_0001,6.77,6.59,7.35,6.37,570.9,1.8,111.8,4.41,245.0,4.0
2,10_3p5o_3p5o,1_0002,6.91,6.73,7.39,6.62,635.9,0.9,104.2,4.07,261.5,4.0
3,10_3p5o_3p5o,1_0003,6.48,6.23,7.09,6.13,526.9,0.9,96.9,4.41,246.3,4.0
4,10_3p5o_3p5o,1_0004,6.62,6.43,7.18,6.27,573.7,0.0,103.7,4.41,251.6,4.0
5,10_3p5o_3p5o,1_0005,6.61,6.47,7.18,6.19,552.9,0.9,112.3,4.41,236.5,4.0
6,10_3p5o_3p5o,1_0006,6.53,6.35,7.2,6.05,534.0,1.8,102.9,4.41,204.7,4.0
7,10_3p5o_3p5o,1_0007,6.65,6.51,7.21,6.25,564.2,0.6,113.0,4.41,244.4,4.0
8,10_3p5o_3p5o,1_0008,6.5,6.27,7.07,6.17,532.1,0.6,101.4,4.41,257.2,4.0
9,10_3p5o_3p5o,1_0009,6.51,6.26,7.14,6.13,526.4,1.5,96.8,4.41,237.3,4.0
10,10_3p5o_3p5o,1_0010,7.12,6.96,7.48,6.91,681.7,0.0,114.7,4.07,303.7,4.0
11,10_3p5o_3p5o,1_0011,6.49,6.31,7.05,6.12,540.9,0.0,105.3,4.41,247.2,4.0
12,10_3p5o_3p5o,1_0012,6.0,5.69,6.66,5.65,444.6,0.0,79.7,4.41,224.7,4.0
13,10_3p5o_3p5o,1_0013,6.46,6.2,7.14,6.05,519.7,1.7,92.9,4.41,218.3,4.0
14,10_3p5o_3p5o,1_0014,6.31,6.14,6.9,5.89,489.2,0.6,105.9,4.41,232.1,4.0
15,10_3p5o_3p5o,1_0015,6.45,6.31,7.09,5.95,528.2,0.9,105.9,4.41,202.3,4.0
16,10_3p5o_3p5o,1_0016,6.43,6.17,7.04,6.09,520.2,0.7,94.8,4.41,246.6,4.0
17,10_3p5o_3p5o,1_0017,6.42,6.27,7.0,5.98,514.4,0.6,109.3,4.41,228.7,4.0
18,10_3p5o_3p5o,1_0018,6.08,5.78,6.74,5.72,464.5,0.0,80.3,4.41,223.9,4.0
19,10_3p5o_3p5o,1_0019,6.51,6.35,7.05,6.13,524.0,0.7,113.8,4.41,253.2,4.0
20,10_3p5o_3u5j,1_0000,6.2,5.9,6.85,5.86,410.2,0.1,90.5,4.22,220.5,0.0
21,10_3p5o_3u5j,1_0001,6.23,5.93,6.88,5.89,416.8,0.1,90.9,4.22,222.0,0.0
22,10_3p5o_3u5j,1_0002,6.27,5.97,6.93,5.93,432.9,0.0,88.1,4.22,216.6,0.0
23,10_3p5o_3u5j,1_0003,6.23,5.93,6.88,5.89,421.3,0.0,89.0,4.22,219.0,0.0
24,10_3p5o_3u5j,1_0004,6.29,5.98,6.94,5.95,436.3,0.0,87.8,4.22,218.2,0.0
25,10_3p5o_3u5j,1_0005,6.41,6.19,7.03,6.02,433.4,1.0,107.2,4.22,220.1,0.0
26,10_3p5o_3u5j,1_0006,5.8,5.47,6.52,5.41,331.2,0.0,78.2,4.22,189.3,0.0
27,10_3p5o_3u5j,1_0007,6.31,6.15,6.76,6.02,455.3,0.0,98.4,3.54,218.2,0.0
28,10_3p5o_3u5j,1_0008,6.43,6.26,6.86,6.17,480.6,0.0,99.8,3.54,231.1,0.0
29,10_3p5o_3u5j,1_0009,6.33,6.16,6.77,6.04,458.9,0.0,98.5,3.54,219.8,0.0
30,10_3p5o_3u5j,1_0010,5.87,5.7,6.5,5.42,324.9,0.0,106.2,4.22,198.7,0.0
31,10_3p5o_3u5j,1_0011,5.78,5.43,6.5,5.42,324.3,0.0,76.6,4.22,197.9,0.0
32,10_3p5o_3u5j,1_0012,6.37,6.16,6.9,6.05,458.3,0.0,98.9,3.88,223.4,0.0
33,10_3p5o_3u5j,1_0013,5.68,5.36,6.43,5.26,308.7,0.0,75.9,4.22,173.0,0.0
34,10_3p5o_3u5j,1_0014,5.68,5.36,6.43,5.26,308.5,0.0,76.1,4.22,174.4,0.0
35,10_3p5o_3u5j,1_0015,6.38,6.22,6.82,6.11,471.1,0.0,99.7,3.54,223.3,0.0
36,10_3p5o_3u5j,1_0016,5.99,5.88,6.38,5.71,389.1,0.0,97.8,3.25,207.1,0.0
37,10_3p5o_3u5j,1_0017,5.96,5.88,6.28,5.71,389.3,0.0,97.8,2.98,206.4,0.0
38,10_3p5o_3u5j,1_0018,5.57,5.46,5.76,5.49,365.6,0.0,62.2,1.9,175.6,0.0
39,10_3p5o_3u5j,1_0019,5.66,5.32,6.33,5.33,308.9,0.0,71.7,3.95,191.1,0.0
40,10_3p5o_4lzs,1_0000,5.55,5.46,5.65,5.53,344.8,1.6,68.1,1.65,197.8,1.0
41,10_3p5o_4lzs,1_0001,5.63,5.56,5.71,5.62,374.0,1.0,69.9,1.65,203.9,1.0
42,10_3p5o_4lzs,1_0002,4.98,4.8,5.15,4.98,238.9,1.8,40.5,1.39,164.1,1.0
43,10_3p5o_4lzs,1_0003,5.28,5.14,5.42,5.28,280.5,1.9,59.9,1.65,196.6,1.0
44,10_3p5o_4lzs,1_0004,5.52,5.42,5.66,5.48,338.5,1.9,64.6,1.65,187.9,1.0
45,10_3p5o_4lzs,1_0005,5.31,5.18,5.43,5.33,284.0,1.8,62.5,1.65,204.4,1.0
46,10_3p5o_4lzs,1_0006,5.31,5.17,5.44,5.33,282.8,1.9,62.2,1.65,204.3,1.0
47,10_3p5o_4lzs,1_0007,5.68,5.62,5.68,5.75,381.3,1.5,70.5,1.39,219.1,1.0
48,10_3p5o_4lzs,1_0008,5.65,5.53,5.71,5.71,367.5,2.3,61.7,1.39,208.7,1.0
49,10_3p5o_4lzs,1_0009,5.52,5.43,5.65,5.47,335.3,2.0,66.4,1.65,186.9,1.0
50,10_3p5o_4lzs,1_0010,5.46,5.41,5.57,5.4,341.5,0.9,68.6,1.65,182.7,1.0
51,10_3p5o_4lzs,1_0011,4.97,4.8,5.13,4.98,234.2,1.8,43.4,1.39,169.5,1.0
52,10_3p5o_4lzs,1_0012,4.88,4.75,5.1,4.8,234.6,1.5,38.4,1.39,128.9,1.0
53,10_3p5o_4lzs,1_0013,5.39,5.32,5.52,5.34,329.8,0.9,63.4,1.65,180.4,1.0
54,10_3p5o_4lzs,1_0014,4.92,4.72,5.16,4.89,237.8,1.0,37.7,1.65,157.8,1.0
55,10_3p5o_4lzs,1_0015,5.44,5.4,5.51,5.43,324.2,1.0,73.9,1.65,204.8,1.0
56,10_3p5o_4lzs,1_0016,4.92,4.75,5.06,4.94,239.9,1.0,40.1,1.39,168.8,1.0
57,10_3p5o_4lzs,1_0017,5.62,5.58,5.56,5.72,388.2,1.1,66.0,1.12,212.0,1.0
58,10_3p5o_4lzs,1_0018,5.62,5.54,5.64,5.68,371.7,1.4,66.7,1.39,214.0,1.0
59,10_3p5o_4lzs,1_0019,5.59,5.5,5.64,5.63,382.8,0.0,65.7,1.65,214.7,1.0
60,10_3p5o_4ogj,1_0000,7.11,7.0,7.4,6.92,633.2,1.2,140.2,4.28,355.5,5.0
61,10_3p5o_4ogj,1_0001,7.07,6.97,7.36,6.89,629.6,1.0,139.5,4.28,354.0,5.0
62,10_3p5o_4ogj,1_0002,7.06,6.96,7.36,6.88,623.2,1.2,140.2,4.28,355.4,5.0
63,10_3p5o_4ogj,1_0003,7.08,6.96,7.33,6.94,618.8,1.2,143.1,4.28,376.2,5.0
64,10_3p5o_4ogj,1_0004,6.95,6.7,7.52,6.63,591.4,1.9,122.1,4.84,312.4,5.0
65,10_3p5o_4ogj,1_0005,6.59,6.24,7.46,6.08,540.8,2.0,92.8,5.2,223.8,5.0
66,10_3p5o_4ogj,1_0006,6.69,6.4,7.42,6.24,560.5,2.2,100.2,4.84,241.1,5.0
67,10_3p5o_4ogj,1_0007,6.99,6.9,7.32,6.76,617.3,1.1,137.6,4.28,332.5,5.0
68,10_3p5o_4ogj,1_0008,7.11,7.0,7.38,6.96,633.2,1.1,140.8,4.28,366.7,5.0
69,10_3p5o_4ogj,1_0009,6.95,6.71,7.53,6.62,591.5,2.0,121.7,4.84,306.5,5.0
70,10_3p5o_4ogj,1_0010,7.05,6.91,7.45,6.78,616.6,1.1,138.5,4.64,338.6,5.0
71,10_3p5o_4ogj,1_0011,7.2,7.03,7.64,6.94,629.5,1.0,146.5,5.0,366.7,5.0
72,10_3p5o_4ogj,1_0012,6.96,6.71,7.54,6.63,594.1,2.1,120.9,4.84,305.9,5.0
73,10_3p5o_4ogj,1_0013,6.63,6.35,7.37,6.18,549.1,2.2,99.5,4.84,236.6,5.0
74,10_3p5o_4ogj,1_0014,7.09,6.99,7.36,6.91,629.2,1.1,142.1,4.28,360.1,5.0
75,10_3p5o_4ogj,1_0015,7.08,6.95,7.35,6.93,627.2,1.0,139.6,4.28,367.2,5.0
76,10_3p5o_4ogj,1_0016,7.22,7.03,7.65,6.97,628.1,1.2,147.0,5.0,373.2,5.0
77,10_3p5o_4ogj,1_0017,6.94,6.6,7.78,6.45,588.7,1.9,111.7,5.56,270.0,5.0
78,10_3p5o_4ogj,1_0018,6.71,6.41,7.54,6.17,557.2,2.2,102.9,5.2,225.8,5.0
79,10_3p5o_4ogj,1_0019,7.07,6.85,7.56,6.81,625.9,1.0,128.5,4.84,337.8,5.0
80,10_3p5o_4wiv,1_0000,6.46,6.24,6.86,6.27,455.6,0.0,108.4,3.8,279.6,0.0
81,10_3p5o_4wiv,1_0001,6.45,6.21,6.92,6.22,444.3,0.0,109.9,4.07,279.3,0.0
82,10_3p5o_4wiv,1_0002,6.44,6.2,6.92,6.2,443.3,0.0,109.7,4.07,275.7,0.0
83,10_3p5o_4wiv,1_0003,6.39,6.13,6.85,6.18,427.8,0.0,108.6,4.07,284.0,0.0
84,10_3p5o_4wiv,1_0004,6.54,6.28,7.0,6.34,463.6,0.0,109.5,4.07,290.4,0.0
85,10_3p5o_4wiv,1_0005,6.33,6.05,6.78,6.16,460.2,0.0,85.7,3.54,247.7,0.0
86,10_3p5o_4wiv,1_0006,6.13,5.82,6.68,5.9,369.1,0.6,96.5,4.07,264.6,0.0
87,10_3p5o_4wiv,1_0007,6.74,6.6,7.3,6.32,513.7,1.0,116.7,4.07,215.3,0.0
88,10_3p5o_4wiv,1_0008,6.31,6.04,6.87,6.01,407.2,1.0,102.1,4.07,245.3,0.0
89,10_3p5o_4wiv,1_0009,6.35,6.14,6.82,6.09,419.9,0.0,112.8,4.07,269.8,0.0
90,10_3p5o_4wiv,1_0010,6.36,6.14,6.82,6.1,420.2,0.0,113.0,4.07,273.6,0.0
91,10_3p5o_4wiv,1_0011,6.57,6.24,7.07,6.38,456.7,1.0,102.5,4.07,289.3,0.0
92,10_3p5o_4wiv,1_0012,6.53,6.29,6.99,6.31,462.3,0.0,110.8,4.07,282.0,0.0
93,10_3p5o_4wiv,1_0013,6.14,5.87,6.62,5.94,369.9,0.0,105.6,4.07,282.5,0.0
94,10_3p5o_4wiv,1_0014,6.73,6.59,7.29,6.3,511.0,1.0,116.6,4.07,214.0,0.0
95,10_3p5o_4wiv,1_0015,6.86,6.71,7.41,6.46,547.6,0.8,115.5,4.07,220.1,0.0
96,10_3p5o_4wiv,1_0016,6.55,6.23,7.04,6.36,455.4,0.8,102.8,4.07,289.0,0.0
97,10_3p5o_4wiv,1_0017,6.01,5.67,6.53,5.81,347.5,0.0,93.8,4.07,274.2,0.0
98,10_3p5o_4wiv,1_0018,6.37,6.23,6.81,6.08,415.1,0.1,125.5,4.07,270.9,0.0
99,10_3p5o_4wiv,1_0019,6.35,6.05,6.86,6.13,454.3,0.0,87.8,3.8,247.3,0.0
100,10_3u5j_3p5o,1_0000,6.78,6.6,7.34,6.41,568.6,1.8,114.1,4.41,259.1,4.0
