,pdb_id,lig_id,Vina_Score
0,10_3p5o_3p5o,1_0000,-9.4
1,10_3p5o_3p5o,1_0001,-8.4
2,10_3p5o_3p5o,1_0002,-7.7
3,10_3p5o_3p5o,1_0003,-7.1
4,10_3p5o_3p5o,1_0004,-6.8
5,10_3p5o_3p5o,1_0005,-6.8
6,10_3p5o_3p5o,1_0006,-6.8
7,10_3p5o_3p5o,1_0007,-6.8
8,10_3p5o_3p5o,1_0008,-6.7
9,10_3p5o_3p5o,1_0009,-6.5
10,10_3p5o_3p5o,1_0010,-6.4
11,10_3p5o_3p5o,1_0011,-6.3
12,10_3p5o_3p5o,1_0012,-6.3
13,10_3p5o_3p5o,1_0013,-6.2
14,10_3p5o_3p5o,1_0014,-6.1
15,10_3p5o_3p5o,1_0015,-6.0
16,10_3p5o_3p5o,1_0016,-6.0
17,10_3p5o_3p5o,1_0017,-5.8
18,10_3p5o_3p5o,1_0018,-5.8
19,10_3p5o_3p5o,1_0019,-5.8
20,10_3p5o_3u5j,1_0000,-9.2
21,10_3p5o_3u5j,1_0001,-8.6
22,10_3p5o_3u5j,1_0002,-7.9
23,10_3p5o_3u5j,1_0003,-7.5
24,10_3p5o_3u5j,1_0004,-7.4
25,10_3p5o_3u5j,1_0005,-7.3
26,10_3p5o_3u5j,1_0006,-7.1
27,10_3p5o_3u5j,1_0007,-6.9
28,10_3p5o_3u5j,1_0008,-6.8
29,10_3p5o_3u5j,1_0009,-6.6
30,10_3p5o_3u5j,1_0010,-6.6
31,10_3p5o_3u5j,1_0011,-6.5
32,10_3p5o_3u5j,1_0012,-6.5
33,10_3p5o_3u5j,1_0013,-6.4
34,10_3p5o_3u5j,1_0014,-6.1
35,10_3p5o_3u5j,1_0015,-6.0
36,10_3p5o_3u5j,1_0016,-5.9
37,10_3p5o_3u5j,1_0017,-5.9
38,10_3p5o_3u5j,1_0018,-5.8
39,10_3p5o_3u5j,1_0019,-5.7
40,10_3p5o_4lzs,1_0000,-5.9
41,10_3p5o_4lzs,1_0001,-5.9
42,10_3p5o_4lzs,1_0002,-5.8
43,10_3p5o_4lzs,1_0003,-5.7
44,10_3p5o_4lzs,1_0004,-5.6
45,10_3p5o_4lzs,1_0005,-5.6
46,10_3p5o_4lzs,1_0006,-5.6
47,10_3p5o_4lzs,1_0007,-5.5
48,10_3p5o_4lzs,1_0008,-5.4
49,10_3p5o_4lzs,1_0009,-5.2
50,10_3p5o_4lzs,1_0010,-5.1
51,10_3p5o_4lzs,1_0011,-4.9
52,10_3p5o_4lzs,1_0012,-4.8
53,10_3p5o_4lzs,1_0013,-4.7
54,10_3p5o_4lzs,1_0014,-4.7
55,10_3p5o_4lzs,1_0015,-4.7
56,10_3p5o_4lzs,1_0016,-4.6
57,10_3p5o_4lzs,1_0017,-4.6
58,10_3p5o_4lzs,1_0018,-4.6
59,10_3p5o_4lzs,1_0019,-4.5
60,10_3p5o_4ogj,1_0000,-8.2
61,10_3p5o_4ogj,1_0001,-8.2
62,10_3p5o_4ogj,1_0002,-7.9
63,10_3p5o_4ogj,1_0003,-7.8
64,10_3p5o_4ogj,1_0004,-7.8
65,10_3p5o_4ogj,1_0005,-7.3
66,10_3p5o_4ogj,1_0006,-7.2
67,10_3p5o_4ogj,1_0007,-7.2
68,10_3p5o_4ogj,1_0008,-7.1
69,10_3p5o_4ogj,1_0009,-7.0
70,10_3p5o_4ogj,1_0010,-7.0
71,10_3p5o_4ogj,1_0011,-6.8
72,10_3p5o_4ogj,1_0012,-6.8
73,10_3p5o_4ogj,1_0013,-6.7
74,10_3p5o_4ogj,1_0014,-6.7
75,10_3p5o_4ogj,1_0015,-6.7
76,10_3p5o_4ogj,1_0016,-6.7
77,10_3p5o_4ogj,1_0017,-6.6
78,10_3p5o_4ogj,1_0018,-6.6
79,10_3p5o_4ogj,1_0019,-6.5
80,10_3p5o_4wiv,1_0000,-7.6
81,10_3p5o_4wiv,1_0001,-7.6
82,10_3p5o_4wiv,1_0002,-7.4
83,10_3p5o_4wiv,1_0003,-7.4
84,10_3p5o_4wiv,1_0004,-7.3
85,10_3p5o_4wiv,1_0005,-7.3
86,10_3p5o_4wiv,1_0006,-7.2
87,10_3p5o_4wiv,1_0007,-7.2
88,10_3p5o_4wiv,1_0008,-7.2
89,10_3p5o_4wiv,1_0009,-7.2
90,10_3p5o_4wiv,1_0010,-7.2
91,10_3p5o_4wiv,1_0011,-7.1
92,10_3p5o_4wiv,1_0012,-6.8
93,10_3p5o_4wiv,1_0013,-6.8
94,10_3p5o_4wiv,1_0014,-6.5
95,10_3p5o_4wiv,1_0015,-6.4
96,10_3p5o_4wiv,1_0016,-6.4
97,10_3p5o_4wiv,1_0017,-6.4
98,10_3p5o_4wiv,1_0018,-6.3
99,10_3p5o_4wiv,1_0019,-6.2
100,10_3u5j_3p5o,1_0000,-9.3
101,10_3u5j_3p5o,1_0001,-8.3
102,10_3u5j_3p5o,1_0002,-7.4
103,10_3u5j_3p5o,1_0003,-7.4
104,10_3u5j_3p5o,1_0004,-7.0
105,10_3u5j_3p5o,1_0005,-6.8
106,10_3u5j_3p5o,1_0006,-6.8
107,10_3u5j_3p5o,1_0007,-6.7
108,10_3u5j_3p5o,1_0008,-6.7
109,10_3u5j_3p5o,1_0009,-6.7
110,10_3u5j_3p5o,1_0010,-6.6
111,10_3u5j_3p5o,1_0011,-6.5
112,10_3u5j_3p5o,1_0012,-6.5
113,10_3u5j_3p5o,1_0013,-6.4
114,10_3u5j_3p5o,1_0014,-6.4
115,10_3u5j_3p5o,1_0015,-6.4
116,10_3u5j_3p5o,1_0016,-6.2
117,10_3u5j_3p5o,1_0017,-5.9
118,10_3u5j_3p5o,1_0018,-5.8
119,10_3u5j_3p5o,1_0019,-5.8
120,10_3u5j_3u5j,1_0000,-9.3
121,10_3u5j_3u5j,1_0001,-8.3
122,10_3u5j_3u5j,1_0002,-7.8
123,10_3u5j_3u5j,1_0003,-7.4
124,10_3u5j_3u5j,1_0004,-7.4
125,10_3u5j_3u5j,1_0005,-7.3
126,10_3u5j_3u5j,1_0006,-7.1
127,10_3u5j_3u5j,1_0007,-6.8
128,10_3u5j_3u5j,1_0008,-6.7
