,pdb_id,lig_id,average_score,HPSCORE,HMSCORE,HSSCORE,VDW,HB,HP,HM,HS,RT
0,10_3p5o_3p5o,1_0000,6.74,6.56,7.29,6.37,572.2,1.1,112.7,4.41,258.2,4.0
1,10_3p5o_3p5o,1_0001,6.81,6.62,7.33,6.47,611.4,0.0,108.6,4.41,264.2,4.0
2,10_3p5o_3p5o,1_0002,6.17,5.9,6.75,5.85,461.4,0.2,94.7,4.41,255.4,4.0
3,10_3p5o_3p5o,1_0003,6.03,5.72,6.7,5.67,428.7,1.0,83.7,4.41,229.8,4.0
4,10_3p5o_3p5o,1_0004,5.93,5.66,6.57,5.57,420.6,0.0,86.6,4.41,229.9,4.0
5,10_3p5o_3p5o,1_0005,6.02,5.72,6.65,5.7,440.5,0.0,84.5,4.41,243.2,4.0
6,10_3p5o_3p5o,1_0006,5.67,5.47,6.04,5.5,422.7,1.0,58.6,2.76,191.2,4.0
7,10_3p5o_3p5o,1_0007,5.58,5.51,5.8,5.42,414.5,0.0,73.3,2.5,197.9,4.0
8,10_3p5o_3p5o,1_0008,5.72,5.35,6.48,5.33,398.7,0.0,62.4,4.41,190.8,4.0
9,10_3p5o_3p5o,1_0009,5.87,5.59,6.56,5.45,412.1,0.3,81.1,4.41,202.9,4.0
10,10_3p5o_3p5o,1_0010,5.9,5.69,6.53,5.48,410.0,0.0,95.1,4.41,219.1,4.0
11,10_3p5o_3p5o,1_0011,5.82,5.48,6.41,5.56,400.4,0.3,74.3,4.14,241.8,4.0
12,10_3p5o_3p5o,1_0012,5.61,5.36,6.16,5.32,382.2,0.1,69.8,3.74,203.7,4.0
13,10_3p5o_3p5o,1_0013,5.63,5.32,6.24,5.33,365.5,0.0,73.0,4.14,224.7,4.0
14,10_3p5o_3p5o,1_0014,5.58,5.3,6.16,5.29,399.0,0.4,53.8,3.47,173.4,4.0
15,10_3p5o_3p5o,1_0015,5.63,5.4,6.07,5.43,416.3,0.0,59.8,3.17,199.8,4.0
16,10_3p5o_3p5o,1_0016,5.79,5.43,6.34,5.59,370.8,1.0,77.5,4.07,267.3,4.0
17,10_3p5o_3p5o,1_0017,5.65,5.35,6.31,5.3,355.6,0.0,80.8,4.41,228.5,4.0
18,10_3p5o_3p5o,1_0018,5.74,5.49,6.21,5.53,395.5,0.0,79.4,3.74,244.2,4.0
19,10_3p5o_3p5o,1_0019,5.45,5.03,6.19,5.12,350.2,0.4,45.4,4.07,179.9,4.0
20,10_3p5o_3u5j,1_0000,6.47,6.26,7.05,6.1,445.5,0.7,110.8,4.22,235.7,0.0
21,10_3p5o_3u5j,1_0001,6.4,6.18,6.93,6.08,465.7,0.0,97.3,3.88,222.2,0.0
22,10_3p5o_3u5j,1_0002,6.09,5.85,6.75,5.66,388.8,0.0,95.0,4.22,195.2,0.0
23,10_3p5o_3u5j,1_0003,6.02,5.79,6.58,5.68,345.4,0.0,107.1,4.22,242.2,0.0
