,pdb_id,lig_id,Total_Score,Crash,Polar
0,10gs,1_0000,13.2331,-1.1208,10.5113
1,10gs,1_0001,13.0842,-1.1839,10.4584
2,10gs,1_0002,12.9889,-1.0918,10.5202
3,10gs,1_0003,12.8775,-0.8098,10.1819
4,10gs,1_0004,12.7986,-1.1334,10.2067
5,10gs,1_0005,12.7665,-1.0218,9.0242
6,10gs,1_0006,12.7513,-1.1505,10.3165
7,10gs,1_0007,12.6875,-1.2111,10.5291
8,10gs,1_0008,12.5013,-1.1981,10.4075
9,10gs,1_0009,12.3893,-1.081,10.378
10,10gs,1_000x,12.3,-1.18,10.01
11,10gs,1_0010,12.3864,-1.084,10.3827
12,10gs,1_0011,12.1764,-1.1271,8.8447
13,10gs,1_0012,11.7684,-1.3647,8.5485
14,10gs,1_0013,11.6582,-1.5211,8.5353
15,10gs,1_0014,10.7337,-1.7582,9.479
16,10gs,1_0015,10.255,-2.6735,8.8509
17,10gs,1_0016,10.2349,-1.2844,7.9221
18,10gs,1_0017,10.2214,-2.6308,8.7684
19,10gs,1_0018,10.1947,-1.8236,7.7286
20,10gs,1_0019,9.8875,-2.7296,8.1776
21,184l,1_0000,5.5336,-0.8568,0.0
22,184l,1_0001,5.2459,-0.7885,0.0
23,184l,1_0002,5.2411,-0.4916,0.0
24,184l,1_0003,5.1904,-0.5213,0.0
25,184l,1_0004,5.0862,-0.8323,0.0
26,184l,1_0005,5.0847,-1.1745,0.0
27,184l,1_0006,5.0662,-1.1774,0.0
28,184l,1_0007,5.0625,-0.7796,0.0
29,184l,1_0008,5.0384,-0.9252,0.0
30,184l,1_0009,5.0008,-0.797,0.0
31,184l,1_000x,5.22,-0.52,0.0
32,184l,1_0010,4.9206,-1.4304,0.0
33,184l,1_0011,4.8292,-1.4047,0.0
34,184l,1_0012,4.6627,-0.84,0.0
35,184l,1_0013,4.5923,-0.5307,0.0
36,184l,1_0014,4.569,-0.4479,0.0
37,184l,1_0015,4.5352,-0.9125,0.0
38,184l,1_0016,4.4488,-0.6399,0.0
39,184l,1_0017,4.4415,-0.5338,0.0
40,184l,1_0018,4.4312,-1.056,0.0
41,184l,1_0019,4.2836,-0.6434,0.0
42,185l,1_0000,4.8761,-0.5176,1.0523
43,185l,1_0001,4.4837,-0.2664,0.3443
44,185l,1_0002,4.3882,-0.283,0.3613
45,185l,1_0003,4.2478,-1.2316,1.4834
46,185l,1_0004,4.1846,-0.3902,0.0
47,185l,1_0005,3.9635,-0.265,0.3544
48,185l,1_0006,3.9623,-0.4177,0.001
49,185l,1_0007,3.7286,-0.6434,0.0
50,185l,1_0008,3.6984,-0.7322,0.0
51,185l,1_0009,3.6539,-0.8144,0.7229
52,185l,1_000x,4.2,-0.38,0.5
53,185l,1_0010,3.5891,-0.4201,0.0
54,185l,1_0011,3.5352,-0.5175,0.0
55,185l,1_0012,3.4836,-0.4749,0.0
56,185l,1_0013,3.397,-0.4626,0.0001
57,185l,1_0014,3.3805,-0.7675,0.2432
58,185l,1_0015,3.212,-0.6458,0.0
59,185l,1_0016,3.1017,-1.0344,0.0
60,185l,1_0017,2.9799,-0.7445,0.0
61,185l,1_0018,2.9643,-0.7472,0.0
62,185l,1_0019,2.9566,-1.2216,0.0
63,186l,1_0000,5.9974,-1.1383,0.0
64,186l,1_0001,5.9905,-0.94,0.0
65,186l,1_0002,5.8648,-0.5399,0.0
66,186l,1_0003,5.7333,-1.0343,0.0
67,186l,1_0004,5.7059,-1.1164,0.0
68,186l,1_0005,5.6014,-0.4267,0.0
69,186l,1_0006,5.587,-1.2224,0.0
70,186l,1_0007,5.5823,-1.4379,0.0
71,186l,1_0008,5.5704,-0.8622,0.0
72,186l,1_0009,5.5319,-0.5461,0.0
73,186l,1_000x,4.54,-0.71,0.0
74,186l,1_0010,5.5311,-0.58,0.0
75,186l,1_0011,5.4802,-0.9378,0.0
76,186l,1_0012,5.4762,-0.4015,0.0
77,186l,1_0013,5.4389,-0.8133,0.0
78,186l,1_0014,5.4018,-0.5585,0.0
79,186l,1_0015,5.3731,-0.6308,0.0
80,186l,1_0016,5.3039,-1.1919,0.0
81,186l,1_0017,5.3034,-0.6521,0.0
82,186l,1_0018,5.2815,-0.5608,0.0
83,186l,1_0019,5.2766,-0.7616,0.0
