#code	rmsd
2qe4_165	0.635575
2qe4_249	0.435662
2qe4_3	0.616584
2qe4_309	0.492292
2qe4_422	1.54376
2qe4_435	4.22063
2qe4_441	1.6151200000000001
2qe4_446	2.72304
2qe4_447	3.98716
2qe4_448	1.36763
2qe4_499	4.27184
2qe4_500	4.38056
2qe4_509	0.9689469999999999
2qe4_551	1.11612
2qe4_552	1.0281799999999999
2qe4_574	6.2670900000000005
2qe4_597	1.58572
2qe4_611	4.26799
2qe4_629	1.61669
2qe4_689	2.31506
2qe4_693	1.76203
2qe4_694	2.37684
2qe4_698	4.0734699999999995
2qe4_705	1.03534
2qe4_718	3.75167
2qe4_741	3.9613
2qe4_750	5.4411
2qe4_754	5.39175
2qe4_757	5.15607
2qe4_770	5.5769
2qe4_771	5.54291
2qe4_777	5.30474
2qe4_779	5.0971400000000004
2qe4_780	1.67615
2qe4_784	5.85688
2qe4_786	5.13635
2qe4_788	5.34754
2qe4_789	5.280869999999999
2qe4_79	3.8607199999999997
2qe4_793	5.45333
2qe4_796	5.11785
2qe4_797	4.14768
2qe4_83	0.539744
2qe4_832	5.59699
2qe4_841	0.748317
2qe4_850	5.33475
2qe4_875	3.76614
2qe4_877	6.08655
2qe4_964	0.8104100000000001
2qe4_977	1.20476
2qe4_ligand	0.0
