#code	rmsd
4f2w_101	5.53638
4f2w_105	0.597943
4f2w_121	8.78026
4f2w_122	5.17903
4f2w_124	2.32253
4f2w_136	9.177719999999999
4f2w_142	0.566472
4f2w_144	5.6626199999999995
4f2w_147	8.85967
4f2w_151	9.01057
4f2w_154	8.902619999999999
4f2w_155	8.13049
4f2w_163	8.9939
4f2w_187	8.96574
4f2w_198	9.26746
4f2w_264	0.60226
4f2w_360	1.0262200000000001
4f2w_407	6.4089599999999995
4f2w_420	2.0037
4f2w_428	6.29359
4f2w_431	2.40585
4f2w_435	6.374709999999999
4f2w_436	2.74642
4f2w_437	6.46114
4f2w_439	6.1268199999999995
4f2w_442	1.2441799999999998
4f2w_45	8.82112
4f2w_454	2.05571
4f2w_465	6.43366
4f2w_467	6.04758
4f2w_468	2.07405
4f2w_473	2.75096
4f2w_474	5.5305800000000005
4f2w_476	1.4696799999999999
4f2w_480	2.90137
4f2w_482	7.521719999999999
4f2w_484	1.7882900000000002
4f2w_486	5.98572
4f2w_519	7.1166100000000005
4f2w_521	7.6951600000000004
4f2w_523	4.96662
4f2w_542	3.8833599999999997
4f2w_543	7.334460000000001
4f2w_552	7.330189999999999
4f2w_559	4.90279
4f2w_562	6.8559399999999995
4f2w_567	7.480589999999999
4f2w_571	6.5286599999999995
4f2w_581	7.46633
4f2w_582	6.976939999999999
4f2w_585	7.57187
4f2w_586	3.22123
4f2w_589	1.94649
4f2w_597	3.9186400000000003
4f2w_608	6.69044
4f2w_620	2.56521
4f2w_631	2.3431
4f2w_638	7.37708
4f2w_657	6.33982
4f2w_658	5.99165
4f2w_66	8.74363
4f2w_664	3.00495
4f2w_665	8.05529
4f2w_671	2.5148
4f2w_687	7.7042600000000006
4f2w_725	1.00173
4f2w_749	1.52085
4f2w_770	1.9443099999999998
4f2w_796	0.538601
4f2w_825	0.8968219999999999
4f2w_901	0.585571
4f2w_907	0.43507299999999993
4f2w_917	0.414231
4f2w_922	1.0444
4f2w_979	0.6306189999999999
4f2w_ligand	0.0
