,pdb_id,lig_id,average_score,HPSCORE,HMSCORE,HSSCORE,VDW,HB,HP,HM,HS,RT
0,10_3p5o_3p5o,1_0000,6.79,6.73,7.2,6.44,579.3,0.0,134.8,4.41,288.4,4.0
1,10_3p5o_3p5o,1_0001,6.78,6.7,7.18,6.46,574.8,0.0,133.7,4.41,299.3,4.0
2,10_3p5o_3p5o,1_0002,6.77,6.7,7.18,6.44,572.5,0.0,134.7,4.41,295.8,4.0
3,10_3p5o_3p5o,1_0003,6.81,6.75,7.22,6.48,583.4,0.0,135.5,4.41,293.4,4.0
4,10_3p5o_3p5o,1_0004,6.75,6.69,7.17,6.39,572.1,0.0,134.3,4.41,283.9,4.0
5,10_3p5o_3p5o,1_0005,6.7,6.53,7.27,6.29,558.6,1.5,113.3,4.41,245.5,4.0
6,10_3p5o_3p5o,1_0006,6.67,6.52,7.25,6.25,584.0,0.3,107.8,4.41,233.0,4.0
7,10_3p5o_3p5o,1_0007,6.85,6.68,7.4,6.47,629.4,0.0,107.4,4.41,246.0,4.0
8,10_3p5o_3p5o,1_0008,6.59,6.42,7.15,6.2,534.7,1.2,113.3,4.41,250.8,4.0
9,10_3p5o_3p5o,1_0009,6.71,6.55,7.27,6.3,595.2,0.0,108.4,4.41,237.3,4.0
10,10_3p5o_3p5o,1_0010,6.52,6.36,7.11,6.08,540.5,0.6,107.6,4.41,225.5,4.0
11,10_3p5o_3p5o,1_0011,6.45,6.23,7.05,6.07,541.2,0.0,96.1,4.41,235.0,4.0
12,10_3p5o_3p5o,1_0012,6.45,6.3,7.04,6.01,522.4,0.7,108.8,4.41,226.0,4.0
13,10_3p5o_3p5o,1_0013,6.49,6.3,7.09,6.09,550.5,0.0,100.3,4.41,230.8,4.0
14,10_3p5o_3p5o,1_0014,6.43,6.24,7.06,5.98,523.5,0.8,100.8,4.41,213.7,4.0
15,10_3p5o_3p5o,1_0015,6.21,5.99,6.7,5.94,494.8,1.0,84.0,3.74,229.2,4.0
16,10_3p5o_3p5o,1_0016,5.97,5.63,6.69,5.59,440.3,0.4,71.9,4.41,208.8,4.0
17,10_3p5o_3u5j,1_0000,6.6,6.46,7.06,6.29,465.2,0.0,128.6,4.22,275.5,0.0
18,10_3p5o_3u5j,1_0001,6.6,6.52,7.07,6.21,466.5,0.0,134.4,4.22,253.7,0.0
19,10_3p5o_3u5j,1_0002,6.36,6.12,6.98,5.98,436.4,0.3,101.4,4.22,219.5,0.0
20,10_3p5o_3u5j,1_0003,6.28,5.98,6.93,5.93,432.4,0.0,89.5,4.22,217.3,0.0
21,10_3p5o_3u5j,1_0004,6.27,5.95,6.93,5.93,433.7,0.0,85.9,4.22,216.8,0.0
22,10_3p5o_3u5j,1_0005,6.25,6.0,6.9,5.87,424.4,0.0,95.3,4.22,210.4,0.0
23,10_3p5o_3u5j,1_0006,6.35,6.23,6.8,6.04,399.0,0.0,132.3,4.22,277.8,0.0
24,10_3p5o_3u5j,1_0007,6.32,6.01,6.91,6.03,428.0,0.0,94.8,4.22,248.4,0.0
25,10_3p5o_3u5j,1_0008,6.18,6.0,6.67,5.85,368.4,0.0,121.0,4.22,261.8,0.0
26,10_3p5o_3u5j,1_0009,6.05,5.8,6.64,5.72,384.4,0.3,89.5,3.88,207.3,0.0
27,10_3p5o_3u5j,1_0010,6.3,6.1,6.91,5.9,426.6,0.0,105.5,4.22,216.5,0.0
28,10_3p5o_3u5j,1_0011,6.0,5.69,6.71,5.61,377.1,0.0,82.7,4.22,192.8,0.0
29,10_3p5o_3u5j,1_0012,5.89,5.55,6.57,5.55,343.5,0.0,82.1,4.22,213.1,0.0
30,10_3p5o_3u5j,1_0013,5.88,5.58,6.57,5.49,343.1,0.0,85.0,4.22,196.2,0.0
31,10_3p5o_3u5j,1_0014,5.79,5.48,6.52,5.36,329.8,0.0,80.3,4.22,178.5,0.0
32,10_3p5o_3u5j,1_0015,5.54,5.3,6.06,5.27,309.0,0.0,68.9,3.25,177.1,0.0
33,10_3p5o_3u5j,1_0016,5.91,5.66,6.46,5.61,340.2,0.0,95.3,3.95,230.3,0.0
34,10_3p5o_3u5j,1_0017,5.81,5.5,6.45,5.48,345.1,0.0,75.7,3.88,192.7,0.0
35,10_3p5o_4lzs,1_0000,5.78,5.75,5.71,5.88,410.4,1.7,71.3,1.12,220.1,1.0
36,10_3p5o_4lzs,1_0001,5.76,5.67,5.85,5.77,384.7,2.0,71.4,1.65,212.6,1.0
37,10_3p5o_4lzs,1_0002,5.58,5.52,5.67,5.56,358.8,1.3,70.6,1.65,198.1,1.0
38,10_3p5o_4lzs,1_0003,5.51,5.42,5.65,5.46,335.5,1.9,66.0,1.65,184.9,1.0
39,10_3p5o_4lzs,1_0004,5.68,5.59,5.81,5.64,385.0,1.6,64.5,1.65,187.2,1.0
40,10_3p5o_4lzs,1_0005,5.47,5.4,5.59,5.41,333.2,1.5,67.8,1.65,182.1,1.0
41,10_3p5o_4lzs,1_0006,5.63,5.59,5.68,5.61,364.5,1.1,77.3,1.65,208.9,1.0
42,10_3p5o_4lzs,1_0007,5.49,5.38,5.6,5.47,328.0,1.8,65.7,1.65,197.7,1.0
43,10_3p5o_4lzs,1_0008,5.53,5.47,5.57,5.55,342.6,0.9,74.3,1.65,218.6,1.0
44,10_3p5o_4lzs,1_0009,5.57,5.53,5.65,5.52,352.3,1.3,74.8,1.65,192.9,1.0
45,10_3p5o_4lzs,1_0010,5.71,5.62,5.73,5.77,406.8,1.0,62.2,1.39,206.9,1.0
46,10_3p5o_4lzs,1_0011,5.43,5.35,5.54,5.4,326.6,1.2,66.4,1.65,190.9,1.0
47,10_3p5o_4lzs,1_0012,5.54,5.49,5.61,5.51,356.4,0.8,71.9,1.65,196.2,1.0
48,10_3p5o_4lzs,1_0013,5.54,5.49,5.64,5.48,360.7,0.8,69.3,1.65,185.3,1.0
49,10_3p5o_4lzs,1_0014,5.48,5.4,5.61,5.43,353.2,0.9,62.3,1.65,178.1,1.0
50,10_3p5o_4lzs,1_0015,5.5,5.46,5.54,5.49,349.0,0.4,74.0,1.65,206.9,1.0
51,10_3p5o_4lzs,1_0016,5.4,5.33,5.45,5.42,322.3,0.5,70.3,1.65,214.4,1.0
52,10_3p5o_4lzs,1_0017,5.27,5.2,5.45,5.17,323.7,0.4,55.5,1.65,151.3,1.0
53,10_3p5o_4lzs,1_0018,5.24,5.21,5.32,5.18,303.6,0.0,68.5,1.65,182.5,1.0
54,10_3p5o_4lzs,1_0019,5.12,5.05,5.21,5.09,275.2,0.0,63.2,1.65,189.0,1.0
55,10_3p5o_4ogj,1_0000,7.01,6.71,7.66,6.67,618.9,2.2,108.4,4.84,288.2,5.0
56,10_3p5o_4ogj,1_0001,6.53,6.24,7.06,6.29,525.2,0.0,111.9,4.84,326.9,5.0
57,10_3p5o_4ogj,1_0002,6.55,6.22,7.06,6.36,538.7,0.8,98.5,4.51,316.7,5.0
58,10_3p5o_4ogj,1_0003,6.11,5.75,6.84,5.74,458.8,0.5,83.9,4.84,247.0,5.0
59,10_3p5o_4ogj,1_0004,6.33,6.0,6.98,6.01,506.1,0.0,93.7,4.84,277.8,5.0
60,10_3p5o_4ogj,1_0005,6.47,6.11,7.23,6.07,508.0,1.0,98.7,5.2,271.6,5.0
61,10_3p5o_4ogj,1_0006,6.58,6.34,6.95,6.46,615.0,0.0,82.5,3.65,279.4,5.0
62,10_3p5o_4ogj,1_0007,7.01,6.68,7.58,6.77,622.3,1.3,109.4,4.84,328.0,5.0
63,10_3p5o_4ogj,1_0008,6.63,6.21,7.53,6.16,573.8,0.0,86.5,5.56,247.7,5.0
64,10_3p5o_4ogj,1_0009,6.67,6.47,6.97,6.58,618.0,0.0,96.1,3.65,306.0,5.0
65,10_3p5o_4ogj,1_0010,6.1,5.74,6.84,5.71,458.3,0.5,82.7,4.84,241.6,5.0
66,10_3p5o_4ogj,1_0011,5.97,5.51,6.81,5.57,418.0,0.5,75.0,5.2,247.3,5.0
67,10_3p5o_4ogj,1_0012,6.23,5.92,6.78,5.99,482.1,0.1,94.3,4.53,294.2,5.0
68,10_3p5o_4ogj,1_0013,6.13,5.94,6.43,6.02,487.2,0.0,95.4,3.61,299.2,5.0
69,10_3p5o_4ogj,1_0014,6.13,5.84,6.62,5.92,463.4,0.6,90.5,4.19,284.5,5.0
70,10_3p5o_4ogj,1_0015,6.15,5.93,6.54,5.97,493.3,0.0,91.5,3.83,279.5,5.0
71,10_3p5o_4ogj,1_0016,6.95,6.59,7.46,6.81,643.9,0.6,93.9,4.51,329.1,5.0
72,10_3p5o_4ogj,1_0017,6.13,5.93,6.47,6.0,498.1,0.0,89.2,3.61,283.3,5.0
73,10_3p5o_4ogj,1_0018,5.67,5.51,5.98,5.52,440.7,0.0,68.3,2.93,220.3,5.0
74,10_3p5o_4ogj,1_0019,6.43,6.09,6.82,6.37,513.3,0.1,100.0,4.32,357.5,5.0
75,10_3p5o_4wiv,1_0000,7.04,6.86,7.65,6.6,576.7,0.9,117.7,4.35,225.3,0.0
76,10_3p5o_4wiv,1_0001,6.71,6.46,7.3,6.37,515.5,0.9,100.5,4.09,228.0,0.0
77,10_3p5o_4wiv,1_0002,6.77,6.48,7.3,6.53,505.0,0.3,111.5,4.35,291.3,0.0
78,10_3p5o_4wiv,1_0003,6.76,6.47,7.29,6.52,504.9,0.2,111.1,4.35,289.6,0.0
79,10_3p5o_4wiv,1_0004,6.44,6.21,6.96,6.14,425.9,0.0,118.2,4.35,277.9,0.0
80,10_3p5o_4wiv,1_0005,6.43,6.2,6.96,6.14,426.1,0.1,116.6,4.35,274.8,0.0
81,10_3p5o_4wiv,1_0006,6.45,6.15,6.98,6.2,487.2,0.2,83.7,3.75,228.7,0.0
82,10_3p5o_4wiv,1_0007,6.37,6.12,6.84,6.14,482.5,0.0,83.4,3.48,220.1,0.0
83,10_3p5o_4wiv,1_0008,6.25,6.01,6.85,5.88,399.5,0.0,107.7,4.35,238.2,0.0
84,10_3p5o_4wiv,1_0009,6.22,5.98,6.83,5.86,395.4,0.0,106.3,4.35,236.5,0.0
