,pdb_id,lig_id,rmsd,label
0,10_3p5o_3p5o,1_0000,5.21938,0
1,10_3p5o_3p5o,1_0001,5.0677900000000005,0
2,10_3p5o_3p5o,1_0002,5.14202,0
3,10_3p5o_3p5o,1_0003,5.1451,0
4,10_3p5o_3p5o,1_0004,5.15206,0
5,10_3p5o_3p5o,1_0005,0.524932,1
6,10_3p5o_3p5o,1_0006,6.21013,0
7,10_3p5o_3p5o,1_0007,6.51354,0
8,10_3p5o_3p5o,1_0008,0.7641560000000001,1
9,10_3p5o_3p5o,1_0009,6.224469999999999,0
10,10_3p5o_3p5o,1_0010,6.09353,0
11,10_3p5o_3p5o,1_0011,6.203530000000001,0
12,10_3p5o_3p5o,1_0012,0.739848,1
13,10_3p5o_3p5o,1_0013,6.29254,0
14,10_3p5o_3p5o,1_0014,6.04493,0
15,10_3p5o_3p5o,1_0015,6.6418,0
16,10_3p5o_3p5o,1_0016,6.164630000000001,0
17,10_3p5o_3u5j,1_0000,5.1056099999999995,0
18,10_3p5o_3u5j,1_0001,6.17885,0
19,10_3p5o_3u5j,1_0002,0.5250229999999999,1
20,10_3p5o_3u5j,1_0003,1.24729,1
21,10_3p5o_3u5j,1_0004,2.14527,0
22,10_3p5o_3u5j,1_0005,4.70707,0
23,10_3p5o_3u5j,1_0006,5.072019999999999,0
24,10_3p5o_3u5j,1_0007,4.83176,0
25,10_3p5o_3u5j,1_0008,5.34764,0
26,10_3p5o_3u5j,1_0009,1.19781,1
27,10_3p5o_3u5j,1_0010,3.6222800000000004,0
28,10_3p5o_3u5j,1_0011,4.69076,0
29,10_3p5o_3u5j,1_0012,4.26357,0
30,10_3p5o_3u5j,1_0013,3.73849,0
31,10_3p5o_3u5j,1_0014,3.65671,0
32,10_3p5o_3u5j,1_0015,9.77904,0
33,10_3p5o_3u5j,1_0016,6.87153,0
34,10_3p5o_3u5j,1_0017,3.7725400000000002,0
35,10_3p5o_4lzs,1_0000,3.71374,0
36,10_3p5o_4lzs,1_0001,3.02472,0
37,10_3p5o_4lzs,1_0002,1.84527,1
38,10_3p5o_4lzs,1_0003,0.9671350000000001,1
39,10_3p5o_4lzs,1_0004,4.86733,0
40,10_3p5o_4lzs,1_0005,1.0602200000000002,1
41,10_3p5o_4lzs,1_0006,3.23398,0
42,10_3p5o_4lzs,1_0007,1.7081,1
43,10_3p5o_4lzs,1_0008,2.41325,0
44,10_3p5o_4lzs,1_0009,2.3145,0
45,10_3p5o_4lzs,1_0010,5.23528,0
46,10_3p5o_4lzs,1_0011,1.93487,1
47,10_3p5o_4lzs,1_0012,5.43297,0
48,10_3p5o_4lzs,1_0013,5.5060199999999995,0
49,10_3p5o_4lzs,1_0014,5.05388,0
